Rank,Name,developper,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,gamename,metaNote,metaNbVote,userNote,userNbVote,samename,Like_Percent,metaNoteQ,serieB
1991,MVP Baseball 2003,EA Sports,PS2,2003,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04,MVP Baseball 2003,81,22,8.3,15,1,0.0,4,1
1992,Legacy of Kain: Soul Reaver,Crystal Dynamics,PS,0,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04,Legacy of Kain: Soul Reaver,91,17,9.0,233,1,0.96,4,1
1993,Dragon Ball Z: Budokai Tenkaichi 3,Namco Bandai Games,Wii,2007,Fighting,Atari,0.33,0.37,0.26,0.09,1.04,Dragon Ball Z: Budokai Tenkaichi 3,73,24,9.0,371,1,0.0,3,0
1994,Disney Tangled,Planet Moon Studios,DS,2010,Action,Disney Interactive Studios,0.58,0.37,0.0,0.09,1.04,Disney Tangled: The Video Game,63,6,7.5,6,1,0.0,3,0
1995,Tales of Destiny,Namco,PS,1997,Role-Playing,Namco Bandai Games,0.09,0.06,0.83,0.07,1.04,Tales of Destiny II,78,9,8.5,45,1,0.87,4,1
1996,ATV: Quad Power Racing,Climax Group,PS,2000,Racing,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04,ATV: Quad Power Racing,42,9,0.0,0,1,0.0,2,0
1997,Disney Fairies: Tinker Bell and the Lost Treasure,Hyde,DS,2009,Adventure,Disney Interactive Studios,0.57,0.35,0.02,0.1,1.04,Disney Fairies: Tinker Bell and the Lost Treasure,2,2,0.0,0,1,0.0,1,0
1998,Mega Man X4,Capcom,PS,1996,Action,Virgin Interactive,0.45,0.3,0.22,0.07,1.04,Mega Man X4,0,4,0.0,0,1,0.96,1,1
1999,Naruto: Clash of Ninja 2,8ing/Raizing,GC,2003,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04,Naruto: Clash of Ninja 2,74,22,8.7,43,1,0.97,3,1
2000,Dance Dance Revolution SuperNOVA,Konami,PS2,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,1.04,Dance Dance Revolution SuperNOVA,73,25,7.8,8,1,0.95,3,1
2001,Brink,Splash Damage,X360,2011,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.04,Brink,72,39,5.8,174,1,0.0,3,0
2002,F-Zero: Maximum Velocity,Nd Cube,GBA,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,F-Zero: Maximum Velocity,86,19,7.8,32,1,0.91,4,1
2005,LEGO Indiana Jones 2: The Adventure Continues,Traveller's Tales,X360,2009,Action,Activision,0.62,0.33,0.0,0.09,1.04,LEGO Indiana Jones 2: The Adventure Continues,71,41,7.6,44,1,0.94,3,1
2006,Project CARS,Slightly Mad Studios,PS4,2015,Racing,Slightly Mad Studios,0.17,0.69,0.02,0.15,1.04,Project CARS,83,48,7.2,492,1,0.0,4,0
2007,Need for Speed: Most Wanted,Criterion Games,XB,2005,Racing,Electronic Arts,0.53,0.46,0.0,0.05,1.04,Need for Speed: Most Wanted - A Criterion Game,78,14,0.0,0,1,0.0,4,1
2009,LEGO Marvel Super Heroes,TT Games,XOne,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.34,0.0,0.09,1.04,LEGO Marvel Super Heroes,83,22,7.6,374,1,0.0,4,0
2010,ZhuZhu Pets,not found,DS,2010,Simulation,Activision,0.68,0.27,0.0,0.09,1.04,ZhuZhu Pets,0,4,0.0,0,1,0.0,1,0
2011,Tom Clancy's Ghost Recon Advanced Warfighter 2,Ubisoft Paris,PS3,2007,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.04,Tom Clancy's Ghost Recon Advanced Warfighter 2,86,58,7.7,99,1,0.94,4,1
2015,MX vs. ATV Unleashed,Rainbow Studios,PS2,2005,Racing,THQ,0.86,0.03,0.0,0.14,1.03,MX vs. ATV Unleashed,79,30,8.5,21,1,0.96,4,1
2016,Sonic Unleashed,Sonic Team,PS3,2008,Platform,Sega,0.56,0.33,0.01,0.14,1.03,Sonic Unleashed,60,50,8.3,578,1,0.96,3,1
2017,Tiger Woods PGA Tour 08,EA Salt Lake,Wii,2007,Sports,Electronic Arts,0.94,0.02,0.0,0.08,1.03,Tiger Woods PGA Tour 08,80,45,7.8,26,1,0.89,4,1
2018,Rayman Origins,UBlart Montpellier,PS3,2011,Platform,Ubisoft,0.33,0.51,0.01,0.18,1.03,Rayman Origins,87,55,8.2,247,1,0.96,4,0
2019,Epic Mickey 2: The Power of Two,Blitz Games Studios,Wii,2012,Action,Disney Interactive Studios,0.72,0.23,0.0,0.08,1.03,Disney Epic Mickey 2: The Power of Two,59,35,6.1,34,1,0.95,3,0
2020,NCAA March Madness 2004,NuFX,PS2,2003,Sports,Electronic Arts,0.5,0.39,0.0,0.13,1.03,NCAA March Madness 2004,82,16,8.8,12,1,0.0,4,1
2022,Bomberman,Konami,NES,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03,Super Bomberman R Online,61,5,0.0,0,1,0.0,3,0
2023,The Simpsons Game,EA Redwood Shores,Wii,2007,Action,Electronic Arts,0.45,0.47,0.0,0.11,1.03,The Simpsons Game,71,30,7.5,67,1,0.96,3,0
2024,Tomb Raider,Nixxes Software,PC,1996,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03,Tomb Raider,86,18,8.4,4640,1,0.0,4,1
2025,Rock Band 2,Harmonix Music Systems,Wii,2008,Misc,MTV Games,0.94,0.01,0.0,0.08,1.03,Rock Band 2,91,24,8.0,99,1,0.92,4,1
2026,Street Fighter Alpha 3,Capcom,PS,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,Street Fighter Alpha 3 MAX,80,35,0.0,0,1,0.94,4,1
2027,Bulletstorm,People Can Fly,X360,2011,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02,Bulletstorm,82,34,7.7,888,1,0.94,4,0
2028,FIFA Soccer 08,EA Canada,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,FIFA Soccer 08,81,28,6.9,52,1,0.94,4,1
2029,Naruto: Clash of Ninja Revolution,8ing/Raizing,Wii,2007,Fighting,Tomy Corporation,0.45,0.46,0.0,0.11,1.02,Naruto: Clash of Ninja Revolution,74,23,7.9,29,1,0.93,3,0
2030,Tom Clancy's Ghost Recon Advanced Warfighter 2,Ubisoft Paris,X360,2007,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,Tom Clancy's Ghost Recon Advanced Warfighter 2,86,58,7.7,99,1,0.94,4,1
2031,ZombiU,Ubisoft Montpellier,WiiU,2012,Action,Ubisoft,0.53,0.36,0.05,0.08,1.02,ZombiU,77,70,7.8,784,1,0.83,4,0
2032,Shrek 2,"Luxoflux, Inc.",GC,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.02,Shrek 2,71,32,6.8,60,1,0.0,3,0
2033,Petz: Catz 2,Yuke's,DS,2007,Simulation,Ubisoft,0.51,0.4,0.0,0.11,1.02,Petz: Catz 2,1,3,6.9,9,1,0.95,1,0
2034,Tales of Graces f,Namco Bandai Games,PS3,2010,Role-Playing,Namco Bandai Games,0.28,0.21,0.45,0.08,1.02,Tales of Graces f,77,55,8.5,348,1,0.88,4,1
2035,Final Fight 2,Capcom,SNES,1993,Action,Capcom,0.39,0.12,0.49,0.02,1.02,Final Fight 2,0,4,0.0,0,1,0.9,1,1
2037,The Lost World: Jurassic Park,not found,PS,1997,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02,The Lost World: Jurassic Park,0,0,0.0,0,1,0.0,1,0
2038,Ace Combat 6: Fires of Liberation,Project Aces ,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.02,Ace Combat 6: Fires of Liberation,80,54,8.0,116,1,0.94,4,1
2039,Madden NFL 07,EA Sports,XB,2006,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.02,Madden NFL 07,84,29,8.2,44,1,0.92,4,1
2041,Harry Potter and the Prisoner of Azkaban,KnowWonder,PS2,2004,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02,Harry Potter and the Prisoner of Azkaban,67,19,7.6,110,1,0.0,3,0
2042,Pong: The Next Level,Supersonic Software,PS,1998,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01,Pong: The Next Level,0,4,0.0,0,1,0.92,1,0
2043,Bayonetta 2,PlatinumGames,WiiU,2014,Action,Nintendo,0.34,0.28,0.1,0.3,1.01,Bayonetta 2,92,31,8.5,475,1,0.92,4,1
2044,Prince of Persia,Ubisoft Montreal,X360,2008,Action,Ubisoft,0.54,0.35,0.02,0.1,1.01,Prince of Persia,82,25,7.3,480,1,0.0,4,1
2045,God of War: Ghost of Sparta,Ready at Dawn,PSP,2010,Action,Sony Computer Entertainment,0.41,0.36,0.03,0.21,1.01,God of War: Ghost of Sparta,86,73,8.7,489,1,0.96,4,1
2046,Sonic Generations,Sonic Team,3DS,2011,Platform,Sega,0.44,0.46,0.01,0.09,1.01,Sonic Generations,77,49,8.1,511,1,0.97,4,1
2047,Ninja Gaiden II,Tecmo,X360,2008,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01,Ninja Gaiden II,81,74,8.0,356,1,0.95,4,1
2048,NBA Jam Tournament Edition,not found,SNES,1995,Sports,Acclaim Entertainment,0.87,0.12,0.0,0.02,1.01,NBA Jam Tournament Edition,0,4,0.0,0,1,0.98,1,1
2050,Guitar Hero: Warriors of Rock,Neversoft Entertainment,Wii,2010,Misc,Activision,0.48,0.44,0.0,0.09,1.01,Guitar Hero: Warriors of Rock,72,65,6.7,56,1,0.94,3,1
2052,Monster Rancher,Tecmo,PS,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01,Monster Rancher,86,5,8.6,16,1,0.0,4,0
2053,The LEGO Movie Videogame,TT Games,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.48,0.02,0.18,1.01,The LEGO Movie Videogame,71,31,7.1,111,1,0.0,3,0
2054,DiRT 2,Codemasters,PS3,2009,Racing,Codemasters,0.27,0.53,0.0,0.2,1.01,DiRT 2,89,22,8.2,423,1,0.0,4,1
2055,Rayman Legends,Ubisoft Montpellier,PS4,2014,Platform,Ubisoft,0.21,0.61,0.0,0.18,1.01,Rayman Legends,90,16,8.4,962,1,0.95,4,0
2057,Ford Racing 2,Razorworks Studios,PS2,2003,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0,Ford Racing 2,51,5,8.5,15,1,0.96,3,1
2058,Breath of Fire III,Capcom,PS,1997,Role-Playing,Capcom,0.29,0.19,0.46,0.07,1.0,Breath of Fire III,1,3,8.1,38,1,0.92,1,1
2061,1942,Capcom,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0,1942,0,4,0.0,0,1,0.0,1,0
2062,Excitebike 64,Left Field Productions,N64,2000,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0,Excitebike 64,88,24,8.1,30,1,0.9,4,1
2063,NES Open Tournament Golf,Nintendo,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0,NES Open Tournament Golf,0,4,0.0,0,1,0.93,1,1
2064,Game & Watch Gallery,Nintendo,GB,1997,Misc,Nintendo,0.63,0.25,0.09,0.03,1.0,Game & Watch Gallery 4,71,14,8.1,7,1,0.0,3,0
2066,SoulCalibur II,Namco,XB,2003,Fighting,Namco Bandai Games,0.78,0.18,0.03,0.0,1.0,SoulCalibur II,93,45,8.9,189,1,0.96,4,0
2067,Haze,Free Radical Design,PS3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,1.0,Haze,55,65,6.4,321,1,0.0,3,0
2068,UFC Undisputed 3,Yuke's,X360,2012,Action,THQ,0.72,0.21,0.0,0.07,1.0,UFC Undisputed 3,86,30,7.5,108,1,0.94,4,1
2069,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),KCET,X360,2006,Sports,Konami Digital Entertainment,0.08,0.9,0.02,0.0,1.0,Winning Eleven: Pro Evolution Soccer 2007,88,6,0.0,0,1,0.0,4,0
2070,Road & Track Presents: The Need for Speed,EA Seattle,PS,1995,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0,Road & Track Presents: The Need for Speed SE,0,4,0.0,0,1,0.89,1,1
2071,NFL GameDay 2001,SCEA,PS,2000,Sports,Sony Computer Entertainment,0.56,0.38,0.0,0.07,1.0,NFL GameDay 2001,51,16,0.0,0,1,0.0,3,1
2072,Killzone: Mercenary,Guerilla Cambridge,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.25,0.49,0.04,0.22,1.0,Killzone: Mercenary,78,86,8.8,611,1,0.95,4,1
2073,NBA Live 97,EA Sports,PS,1996,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0,NBA Live 97,0,4,0.0,0,1,0.91,1,1
2074,Dynasty Warriors 3: Xtreme Legends,Omega Force,PS2,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0,Dynasty Warriors 3: Xtreme Legends,72,16,8.5,60,1,0.96,3,1
2075,Zoo Tycoon DS,Altron,DS,2005,Strategy,THQ,0.86,0.04,0.01,0.08,1.0,Zoo Tycoon DS,44,19,6.6,27,1,0.0,2,1
2076,Rocksmith 2014,Ubisoft,PS3,2013,Misc,Ubisoft,0.51,0.27,0.05,0.15,1.0,Rocksmith 2014 Edition,89,7,7.9,167,1,0.93,4,0
2077,Dead Space 3,Visceral Games,PS3,2013,Action,Electronic Arts,0.44,0.38,0.0,0.17,1.0,Dead Space 3,78,16,6.1,1339,1,0.91,4,1
2078,Wheel of Fortune,Ubisoft,Wii,2010,Misc,THQ,0.89,0.04,0.0,0.06,1.0,Wheel of Fortune,0,4,0.0,0,1,0.0,1,0
2079,Disney Infinity,Avalanche Software,PS3,2013,Action,Disney Interactive Studios,0.48,0.35,0.0,0.16,1.0,Disney Infinity 3.0 Edition,80,53,6.0,84,1,0.0,4,0
2080,Dark Souls,From Software,X360,2011,Role-Playing,Namco Bandai Games,0.64,0.28,0.0,0.08,1.0,Dark Souls,89,54,8.9,2213,1,0.0,4,0
2081,Puzzler Collection,Route 1 Games,DS,2008,Puzzle,Ubisoft,0.17,0.78,0.0,0.04,1.0,Puzzler Collection,71,5,0.0,0,1,0.0,3,0
2083,Dead Space 3,Visceral Games,X360,2013,Action,Electronic Arts,0.64,0.28,0.0,0.08,0.99,Dead Space 3,78,16,6.1,1339,1,0.91,4,1
2084,Phoenix Wright: Ace Attorney,Capcom,DS,2005,Adventure,Capcom,0.49,0.07,0.39,0.05,0.99,Phoenix Wright: Ace Attorney Trilogy,81,27,8.4,76,1,0.0,4,1
2085,NFL Fever 2002,Microsoft Game Studios,XB,2000,Sports,Microsoft Game Studios,0.74,0.21,0.0,0.04,0.99,NFL Fever 2002,79,24,8.3,10,1,0.0,4,1
2086,The Simpsons: Hit & Run,Radical Entertainment,GC,2003,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99,The Simpsons: Hit & Run,82,21,8.1,165,1,0.98,4,0
2087,Littlest Pet Shop: Winter,Electronic Arts,DS,2008,Simulation,Electronic Arts,0.59,0.31,0.0,0.1,0.99,Littlest Pet Shop: Winter,0,4,0.0,0,1,0.0,1,1
2088,LEGO Harry Potter: Years 5-7,Traveller's Tales,X360,0,Action,Warner Bros. Interactive Entertainment,0.51,0.39,0.0,0.09,0.99,LEGO Harry Potter: Years 5-7,80,5,8.1,83,1,0.0,4,1
2089,Tom Clancy's Splinter Cell: Blacklist,Ubisoft Toronto,X360,2013,Action,Ubisoft,0.57,0.34,0.01,0.08,0.99,Tom Clancy's Splinter Cell: Blacklist,82,13,0.0,0,1,0.97,4,1
2090,Ace Combat X: Skies of Deception,Project Aces ,PSP,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,Ace Combat X: Skies of Deception,75,26,8.4,43,1,0.96,3,1
2091,NCAA Football 12,EA Sports,X360,2011,Sports,Electronic Arts,0.94,0.0,0.0,0.06,0.99,NCAA Football 12,82,17,5.8,41,1,0.95,4,1
2092,LEGO Pirates of the Caribbean: The Video Game,Traveller's Tales,PS3,2011,Action,Disney Interactive Studios,0.36,0.46,0.0,0.17,0.99,LEGO Pirates of the Caribbean: The Video Game,73,54,7.3,44,1,0.96,3,0
2093,Band Hero,Neversoft Entertainment,Wii,2009,Misc,Activision,0.6,0.3,0.0,0.09,0.99,Band Hero,76,45,7.1,11,1,0.82,4,1
2095,Oddworld: Abe's Exoddus,Oddworld Inhabitants,PS,1998,Platform,GT Interactive,0.55,0.38,0.0,0.06,0.99,Oddworld: Abe's Exoddus,88,13,8.5,112,1,0.97,4,1
2096,EyePet,SCEE London Studio,PS3,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.09,0.99,EyePet,70,35,7.8,23,1,0.89,3,0
2097,Scooby-Doo! First Frights,Torus Games,Wii,2009,Action,Warner Bros. Interactive Entertainment,0.88,0.05,0.0,0.07,0.99,Scooby-Doo! First Frights,56,5,8.5,20,1,0.97,3,0
2098,Midnight Club: LA Remix,Rockstar London,PSP,2008,Racing,Take-Two Interactive,0.52,0.28,0.0,0.19,0.99,Midnight Club: LA Remix,79,26,8.5,51,1,0.0,4,1
2099,The Bouncer,DreamFactory,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,The Bouncer,66,20,7.8,48,1,0.92,3,0
2100,Guitar Hero: Aerosmith,BudCat,PS3,2008,Misc,Activision,0.73,0.15,0.0,0.11,0.99,Guitar Hero: Aerosmith,71,11,6.7,19,1,0.95,3,1
2102,FIFA Soccer 10,EA Sports,Wii,2009,Sports,Electronic Arts,0.23,0.65,0.0,0.11,0.99,FIFA Soccer 10,91,56,7.6,229,1,0.0,4,1
2104,Farming Simulator 2013,Giants Software,PC,2012,Simulation,Focus Home Interactive,0.0,0.8,0.0,0.18,0.99,Farming Simulator 2013,65,12,7.4,117,1,0.93,3,0
2105,Fallout 3,Bethesda Game Studios,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.99,Fallout 3,91,48,7.8,4681,1,0.94,4,0
2106,Cars,Rainbow Studios,DS,2006,Racing,THQ,0.85,0.05,0.0,0.08,0.98,Cars,71,30,8.7,37,1,0.0,3,0
2107,Pro Evolution Soccer 2008,Konami,PSP,2008,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.98,Pro Evolution Soccer 2008,76,29,7.5,42,1,0.92,4,1
2108,Far Cry 3,Ubisoft Montreal,PC,2012,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98,Far Cry 3,88,43,8.4,4424,1,0.96,4,0
2109,Xenoblade Chronicles,Monolith Soft,Wii,2010,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98,Xenoblade Chronicles: Definitive Edition,89,92,9.0,1019,1,0.0,4,0
2110,Just Dance 2014,Ubisoft,X360,2013,Misc,Ubisoft,0.72,0.19,0.0,0.07,0.98,Just Dance 2014,79,16,7.9,35,1,0.94,4,1
2111,Mario Party Advance,Hudson,GBA,2005,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98,Mario Party Advance,54,27,5.0,54,1,0.66,3,1
2112,Sonic & Sega All-Stars Racing,Sumo Digital,PS3,2010,Racing,Sega,0.36,0.46,0.0,0.17,0.98,Sonic & Sega All-Stars Racing,77,44,8.0,73,1,0.0,4,1
2113,Tetris 2,Sega,NES,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98,Puyo Puyo Tetris 2,80,27,8.5,20,1,0.84,4,1
2116,Suikoden III,KCET,PS2,0,Role-Playing,Unknown,0.29,0.23,0.38,0.08,0.98,Suikoden III,86,23,8.9,136,1,0.92,4,1
2117,Kingdom Hearts Re:coded,h.a.n.d. Inc.,DS,2010,Role-Playing,Square Enix,0.56,0.1,0.27,0.05,0.98,Kingdom Hearts Re:coded,66,58,8.3,258,1,0.79,3,1
2118,South Park: The Stick of Truth,Obsidian Entertainment,PS3,2014,Role-Playing,Ubisoft,0.42,0.38,0.0,0.17,0.98,South Park: The Stick of Truth,85,48,8.6,2183,1,0.97,4,1
2119,Driver: San Francisco,Ubisoft Reflections,PS3,2011,Racing,Ubisoft,0.24,0.54,0.01,0.18,0.98,Driver: San Francisco,80,11,7.2,413,1,0.95,4,1
2120,Sniper Elite V2,Rebellion,PS3,2012,Shooter,505 Games,0.38,0.39,0.06,0.15,0.98,Sniper Elite V2,66,21,6.7,595,1,0.91,3,1
2121,Far Cry 4,Ubisoft Montreal,X360,2014,Shooter,Ubisoft,0.45,0.44,0.0,0.08,0.98,Far Cry 4,85,83,7.7,2319,1,0.95,4,1
2122,Grand Theft Auto: San Andreas,Rockstar North,PC,2005,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98,Grand Theft Auto: San Andreas,95,80,9.1,2736,1,0.0,4,1
2123,Tom Clancy's Splinter Cell: Blacklist,Ubisoft Toronto,PS3,2013,Action,Ubisoft,0.34,0.41,0.06,0.18,0.98,Tom Clancy's Splinter Cell: Blacklist,82,13,7.5,924,1,0.97,4,1
2124,Pro Evolution Soccer 2014,Konami,PS3,2013,Action,Konami Digital Entertainment,0.03,0.43,0.51,0.01,0.98,Pro Evolution Soccer 2014,78,39,4.0,316,1,0.91,4,1
2125,Madden NFL 16,EA Sports,X360,2015,Sports,Electronic Arts,0.82,0.05,0.0,0.1,0.98,Madden NFL 16,83,37,5.7,198,1,0.89,4,1
2126,Madden NFL 10,EA Tiburon,PS2,2009,Sports,Electronic Arts,0.88,0.0,0.0,0.1,0.98,Madden NFL 10,85,41,6.9,61,1,0.87,4,1
2127,Brutal Legend,Double Fine Productions,X360,2009,Action,Electronic Arts,0.62,0.27,0.0,0.09,0.98,Brutal Legend,82,88,8.0,297,1,0.97,4,0
2128,Tamagotchi Connection: Corner Shop 2,NanaOn-Sha,DS,2006,Simulation,Namco Bandai Games,0.09,0.02,0.86,0.01,0.98,Tamagotchi Connection: Corner Shop 2,66,9,5.8,5,1,0.0,3,0
2129,Final Fantasy Type-0,HexaDrive,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.97,Final Fantasy Type-0 HD,72,77,7.5,636,1,0.86,3,1
2130,Madden NFL 08,EA Tiburon,PS3,2007,Sports,Electronic Arts,0.89,0.01,0.0,0.08,0.97,Madden NFL 08,85,46,7.0,146,1,0.97,4,1
2131,de Blob,Blue Tongue Entertainment,Wii,2008,Platform,THQ,0.5,0.37,0.0,0.1,0.97,de Blob,72,14,7.3,15,1,0.93,3,1
2132,NCAA Football 06,EA Sports,XB,2005,Sports,Electronic Arts,0.73,0.21,0.0,0.03,0.97,NCAA Football 06,87,25,8.6,40,1,0.97,4,1
2133,Mass Effect 3,BioWare,PC,2012,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97,Mass Effect 3,89,23,6.0,6955,1,0.92,4,0
2134,NBA 2K10,Visual Concepts,X360,2009,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97,NBA 2K10,82,46,7.5,35,1,0.92,4,1
2135,Fire Emblem,Koei Tecmo Games,GBA,2003,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97,Fire Emblem: Three Houses,89,102,8.9,2462,1,0.0,4,0
2136,Yakuza 4,Ryu ga Gotoku Studios,PS3,0,Action,Sega,0.15,0.14,0.63,0.05,0.97,Yakuza 4,78,59,8.3,255,1,0.89,4,1
2137,Skylanders: Spyro's Adventure,Toys for Bob,X360,2011,Action,Activision,0.53,0.35,0.0,0.1,0.97,Skylanders: Spyro's Adventure,81,11,5.9,46,1,0.96,4,1
2138,Club Penguin: Game Day!,Artoon,Wii,2010,Sports,Disney Interactive Studios,0.56,0.33,0.0,0.08,0.97,Club Penguin: Game Day!,1,3,8.0,11,1,0.0,1,0
2139,NHL 2004,EA Sports,PS2,2003,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97,NHL 2004,85,19,7.6,53,1,0.87,4,1
2140,Grand Theft Auto: Vice City Stories,Rockstar Leeds,PS2,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97,Grand Theft Auto: Vice City Stories,86,50,8.2,261,1,0.94,4,1
2141,NBA 2K16,Visual Concepts,X360,2015,Sports,Take-Two Interactive,0.77,0.1,0.0,0.1,0.97,NBA 2K16,87,51,6.7,445,1,0.0,4,1
2142,FIFA Soccer 2005,EA Canada,XB,2004,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97,FIFA Soccer 2005,77,17,6.7,56,1,0.89,4,1
2143,LEGO The Lord of the Rings,TT Games,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.52,0.37,0.0,0.08,0.97,LEGO The Lord of the Rings,80,6,8.0,183,1,0.0,4,0
2144,Romancing SaGa,Square Enix,SNES,1992,Role-Playing,SquareSoft,0.0,0.0,0.97,0.0,0.97,Romancing SaGa 3,73,9,7.7,35,1,0.87,3,1
2146,LEGO Star Wars II: The Original Trilogy,Traveller's Tales,GC,2006,Action,LucasArts,0.75,0.19,0.0,0.03,0.97,LEGO Star Wars II: The Original Trilogy,84,32,8.7,74,1,0.97,4,0
2147,LEGO Harry Potter: Years 5-7,Traveller's Tales,PS3,0,Action,Warner Bros. Interactive Entertainment,0.36,0.45,0.0,0.16,0.97,LEGO Harry Potter: Years 5-7,80,5,8.1,83,1,0.0,4,1
2148,Final Fantasy X / X-2 HD Remaster,Virtuos,PSV,2013,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.97,Final Fantasy X / X-2 HD Remaster,84,30,8.4,615,1,0.0,4,1
2150,The Sims 2,Maxis,DS,2005,Simulation,Electronic Arts,0.82,0.07,0.0,0.07,0.96,The Sims 2,90,61,8.7,943,1,0.95,4,1
2151,Dark Cloud 2,Level 5,PS2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96,Dark Cloud 2,0,4,7.9,34,1,0.96,1,1
2153,PlayStation All-Stars Battle Royale,SuperBot Entertainment,PS3,2012,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96,PlayStation All-Stars Battle Royale,74,69,7.4,601,1,0.85,3,0
2155,Monster High: Ghoul Spirit,ImaginEngine,DS,2011,Misc,THQ,0.72,0.17,0.0,0.07,0.96,Monster High: Ghoul Spirit,1,3,0.0,0,1,0.94,1,1
2156,Dragon Quest X,Square Enix,Wii,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96,Dragon Quest X,0,4,0.0,0,1,0.0,1,1
2157,LEGO Pirates of the Caribbean: The Video Game,Traveller's Tales,DS,2011,Action,Disney Interactive Studios,0.37,0.49,0.0,0.1,0.96,LEGO Pirates of the Caribbean: The Video Game,73,54,7.3,44,1,0.96,3,0
2158,Gangs of London,SCEE London Studio,PSP,2006,Adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.22,0.96,Gangs of London,52,47,6.8,23,1,0.0,3,0
2159,Mortal Kombat Trilogy,Midway,N64,1996,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96,Mortal Kombat Trilogy,0,4,0.0,0,1,0.96,1,1
2160,Star Soldier,Hudson Soft,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96,Star Soldier R,64,17,0.0,0,1,0.0,3,0
2161,Sonic Unleashed,Sonic Team,X360,2008,Platform,Sega,0.54,0.33,0.0,0.09,0.96,Sonic Unleashed,60,50,8.3,578,1,0.96,3,1
2162,Lost Planet 2,Capcom,PS3,2010,Shooter,Capcom,0.29,0.34,0.2,0.13,0.96,Lost Planet 2,68,63,6.2,120,1,0.94,3,1
